customer_id,total_previous_invoices,previous_paid_invoices,previous_late_invoices,previous_unresolved_invoices,avg_payment_delay_days,disputes_count,reminders_sent,reminders_responded,previous_payment_failures,invoice_amount,days_overdue,recovered
CUST_00001,26,19,1,6,17.5,0,2,1,0,250000,28,1
CUST_00002,22,3,17,2,0.4,1,4,2,4,10000,23,0
CUST_00003,11,9,2,0,6.5,0,3,0,5,75000,14,1
CUST_00004,27,22,4,1,0.9,3,4,4,5,10000,50,1
CUST_00005,18,0,13,5,22.9,1,4,4,0,50000,30,0
CUST_00006,24,4,12,8,4.9,1,1,1,2,250000,39,0
CUST_00007,19,3,13,3,17.4,1,3,1,0,10000,9,0
CUST_00008,19,14,4,1,7.5,4,4,4,0,100000,4,1
CUST_00009,7,1,4,2,8.3,1,1,0,4,25000,60,0
CUST_00010,22,5,6,11,6.8,2,1,0,0,10000,58,0
CUST_00011,25,12,3,10,18.6,3,5,4,0,75000,56,0
CUST_00012,27,9,7,11,18.5,0,3,3,5,100000,39,0
CUST_00013,22,12,8,2,9.7,3,2,2,1,500000,43,0
CUST_00014,20,2,13,5,8.8,0,4,0,1,50000,8,0
CUST_00015,19,12,2,5,4.1,5,4,3,3,75000,16,0
CUST_00016,11,8,2,1,4.2,3,0,0,4,250000,29,0
CUST_00017,12,10,2,0,10.1,4,4,2,5,50000,11,1
CUST_00018,8,5,0,3,0.6,0,3,3,5,50000,10,1
CUST_00019,15,14,0,1,17.9,1,1,1,2,25000,32,1
CUST_00020,23,2,21,0,23.4,2,3,2,4,250000,2,0
CUST_00021,22,9,11,2,5.4,2,4,4,1,10000,43,0
CUST_00022,15,11,0,4,1.6,3,4,3,3,10000,2,1
CUST_00023,15,0,7,8,24.7,4,3,0,2,10000,35,0
CUST_00024,22,12,4,6,26.3,0,5,3,0,500000,8,0
CUST_00025,21,3,9,9,28.5,5,3,3,5,25000,32,0
CUST_00026,14,4,7,3,27.0,0,3,0,1,500000,37,0
CUST_00027,20,10,7,3,13.7,0,4,0,1,250000,11,0
CUST_00028,10,2,7,1,13.8,4,3,1,1,100000,27,0
CUST_00029,12,1,1,10,9.9,4,2,1,0,250000,57,0
CUST_00030,14,6,5,3,5.6,0,0,0,1,500000,46,0
CUST_00031,27,2,4,21,25.7,2,2,2,1,100000,53,0
CUST_00032,15,2,11,2,29.2,5,2,0,3,100000,54,0
CUST_00033,21,7,9,5,0.6,1,5,3,1,50000,24,0
CUST_00034,16,14,0,2,1.6,1,3,1,5,100000,58,1
CUST_00035,12,5,4,3,6.0,0,0,0,0,500000,24,1
CUST_00036,21,13,3,5,14.8,0,5,2,2,250000,18,0
CUST_00037,15,6,9,0,16.3,1,0,0,0,100000,26,0
CUST_00038,8,8,0,0,3.3,0,3,0,0,100000,25,1
CUST_00039,6,6,0,0,19.7,0,5,0,1,10000,48,0
CUST_00040,16,12,1,3,24.9,5,3,0,5,25000,2,0
CUST_00041,24,23,1,0,29.3,1,3,1,3,100000,26,0
CUST_00042,6,4,0,2,22.8,3,4,3,4,10000,23,0
CUST_00043,14,6,5,3,29.5,2,0,0,2,25000,53,0
CUST_00044,14,13,0,1,26.6,2,5,3,4,250000,15,0
CUST_00045,20,8,6,6,0.9,2,2,0,2,500000,9,0
CUST_00046,7,3,1,3,17.3,2,4,4,0,10000,14,0
CUST_00047,5,0,3,2,28.4,3,2,2,3,75000,13,0
CUST_00048,12,0,7,5,0.3,4,1,1,2,10000,27,0
CUST_00049,6,3,2,1,4.4,4,0,0,1,10000,5,1
