customer_id,total_previous_invoices,previous_paid_invoices,previous_late_invoices,previous_unresolved_invoices,avg_payment_delay_days,disputes_count,reminders_sent,reminders_responded,previous_payment_failures,previous_promises,promises_kept,promises_broken,previous_reminders_successful,customer_tenure_days,average_invoice_amount,previous_outstanding_amount,invoice_amount,days_overdue,recovered
CUST_00001,24,20,1,3,18.0,4,7,7,3,4,2,2,6,1187,100000,300000,50000,40,0
CUST_00002,23,15,0,8,19.8,1,1,1,1,1,1,0,0,504,50000,400000,75000,60,0
CUST_00003,29,26,0,3,5.5,0,4,0,0,4,2,2,0,1108,250000,75000,10000,27,1
CUST_00004,21,12,0,9,17.9,4,4,3,0,3,0,3,0,1448,100000,900000,500000,24,0
CUST_00005,5,1,4,0,14.6,3,5,4,0,1,1,0,5,188,500000,0,75000,57,0
CUST_00006,10,2,8,0,21.7,2,5,3,1,6,3,3,1,606,10000,0,100000,44,0
CUST_00007,13,10,2,1,28.2,3,5,5,3,3,3,0,5,987,500000,10000,100000,58,0
CUST_00008,17,16,1,0,19.9,3,7,5,0,6,5,1,3,1709,50000,0,25000,1,1
CUST_00009,29,29,0,0,22.6,3,1,1,3,3,1,2,0,876,500000,0,500000,20,0
CUST_00010,20,14,2,4,6.3,4,0,0,5,3,3,0,0,1692,10000,200000,75000,6,0
CUST_00011,23,17,4,2,29.9,3,4,2,0,1,0,1,2,511,100000,200000,100000,5,0
CUST_00012,5,3,2,0,20.8,1,3,0,4,0,0,0,1,623,500000,0,75000,17,0
CUST_00013,6,2,4,0,17.9,2,0,0,5,0,0,0,0,394,25000,0,250000,47,0
CUST_00014,26,25,0,1,6.7,2,7,7,5,6,6,0,6,453,100000,100000,50000,40,1
CUST_00015,15,11,4,0,11.8,1,4,3,4,6,3,3,1,1779,100000,0,50000,53,1
CUST_00016,8,7,0,1,17.7,1,3,2,5,5,0,5,3,893,100000,50000,250000,27,0
CUST_00017,10,9,1,0,25.3,0,2,2,1,4,3,1,1,1746,75000,0,250000,56,1
CUST_00018,19,10,0,9,28.3,1,0,0,2,1,1,0,0,1694,10000,450000,75000,48,0
CUST_00019,21,11,9,1,9.9,5,4,4,2,4,3,1,0,1064,10000,25000,75000,21,0
CUST_00020,15,15,0,0,27.7,2,1,1,0,5,5,0,1,1397,50000,0,10000,14,1
CUST_00021,13,13,0,0,29.2,5,1,0,5,0,0,0,1,877,50000,0,10000,59,0
CUST_00022,20,19,0,1,1.9,3,7,5,0,5,3,2,7,1053,100000,50000,75000,57,1
CUST_00023,29,27,2,0,9.5,4,2,2,5,5,4,1,2,1305,75000,0,50000,32,0
CUST_00024,16,9,0,7,5.1,3,1,1,1,6,4,2,1,670,75000,700000,10000,56,1
CUST_00025,25,19,0,6,27.4,2,6,5,0,2,1,1,2,1291,10000,150000,25000,44,0
CUST_00026,14,7,6,1,8.7,2,0,0,0,1,1,0,0,1221,75000,100000,250000,26,0
CUST_00027,26,19,7,0,0.3,4,3,2,4,5,2,3,1,1154,500000,0,500000,46,0
CUST_00028,12,12,0,0,0.3,4,7,4,4,3,2,1,6,228,25000,0,25000,11,1
CUST_00029,23,16,4,3,13.0,0,2,0,2,0,0,0,2,208,50000,75000,50000,29,0
CUST_00030,5,3,2,0,6.9,5,4,1,1,3,3,0,4,150,500000,0,100000,58,0
CUST_00031,29,19,3,7,18.4,4,2,2,1,3,0,3,1,1072,10000,700000,10000,43,0
CUST_00032,12,12,0,0,25.1,3,5,2,1,2,0,2,3,1450,500000,0,10000,59,0
CUST_00033,23,17,1,5,15.7,5,8,8,4,1,1,0,4,381,500000,250000,25000,20,1
CUST_00034,7,7,0,0,8.8,3,5,3,5,3,1,2,3,1130,25000,0,50000,4,1
CUST_00035,28,23,4,1,5.3,2,5,0,3,3,3,0,3,401,250000,10000,75000,37,1
CUST_00036,29,20,7,2,14.4,5,2,1,2,5,1,4,2,1185,50000,50000,100000,31,0
CUST_00037,18,9,3,6,18.1,5,1,1,0,5,1,4,0,1569,50000,60000,250000,22,0
CUST_00038,27,17,2,8,18.3,3,4,0,3,0,0,0,4,935,250000,400000,75000,22,0
CUST_00039,11,1,0,10,22.0,5,1,1,1,6,1,5,0,363,75000,500000,500000,13,0
CUST_00040,23,18,0,5,6.2,0,4,2,2,1,0,1,0,700,10000,50000,75000,11,1
CUST_00041,29,24,5,0,18.7,1,1,1,5,6,2,4,1,1457,500000,0,100000,14,1
CUST_00042,25,18,3,4,11.8,1,6,2,0,6,5,1,0,109,75000,100000,250000,8,1
CUST_00043,13,13,0,0,17.6,4,6,0,0,4,2,2,1,1007,250000,0,250000,27,0
CUST_00044,26,21,4,1,3.8,4,5,2,5,1,0,1,5,1110,75000,100000,25000,36,0
CUST_00045,30,30,0,0,7.3,3,8,6,0,4,3,1,1,605,100000,0,75000,14,1
CUST_00046,17,15,2,0,10.7,2,2,1,1,2,2,0,0,1431,250000,0,75000,0,1
CUST_00047,30,20,6,4,15.2,1,1,0,1,2,0,2,1,41,10000,200000,50000,7,0
CUST_00048,7,0,6,1,26.7,0,5,0,3,0,0,0,1,646,100000,100000,25000,19,0
CUST_00049,14,8,6,0,26.1,2,6,0,1,0,0,0,0,94,75000,0,10000,49,0
CUST_00050,13,9,1,3,6.0,0,2,1,1,0,0,0,1,1588,100000,300000,500000,4,1
CUST_00051,28,19,3,6,26.2,4,0,0,3,0,0,0,0,1334,50000,150000,10000,9,0
CUST_00052,16,7,1,8,23.9,1,8,6,0,3,0,3,5,1175,100000,200000,25000,18,0
CUST_00053,23,21,0,2,29.6,2,0,0,0,4,3,1,0,1259,75000,200000,250000,40,0
